name,type,start_time,duration,"t","speedLimit","gear","driveMode","zeroStart","lightEnable","nSpeedMagnets","wheelDiameter","boostSensitivity","boostStrength","currentLimit","underVoltage","speed","cruiseEnable","powerMagnetType","CRC"
"FocanGZ3-RX","GZ3_RX",5.701212,0.014542,3.99154,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",5.774645,0.035412,4.064972999999999,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",5.810839,0.01454,4.101166999999999,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",5.884469,0.036764,4.174797000000001,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",5.921554,0.014542,4.211881999999999,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",5.994084,0.035412,4.2844120000000006,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",6.030161,0.014543,4.320488999999999,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",6.103895,0.035721,4.394223,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",6.139858,0.014544,4.430186,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",6.213501,0.035408,4.503829,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",6.249495,0.014542,4.539823,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",6.323206,0.036865,4.613534,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",6.360218,0.014543,4.650546,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",6.43281,0.038945,4.723137999999999,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",6.471929,0.014541,4.762257,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",6.542625,0.036866,4.832953,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",6.580533,0.014543,4.8708610000000006,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",6.652228,0.035511,4.942556000000001,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",6.688176,0.014541,4.978504000000001,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",6.762036,0.03884,5.052364000000001,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",6.801885,0.014539,5.092213,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",6.871739,0.035408,5.162067,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",6.907462,0.01454,5.19779,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",6.98144,0.036865,5.271768,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",7.01913,0.01454,5.3094579999999985,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",7.091147,0.03541,5.381475,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",7.126761,0.014542,5.417089,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",7.20086,0.036862,5.491188,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",7.238428,0.014541,5.528756,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",7.310562,0.035407,5.60089,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",7.347049,0.014541,5.637377000000001,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",7.420465,0.034782,5.710793,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",7.455713,0.014541,5.746041000000001,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",7.530169,0.03541,5.820497,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",7.566354,0.014539,5.856681999999999,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",7.639979,0.035721,5.930307000000001,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",7.676028,0.01454,5.966355999999999,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",7.749584,0.037384,6.039912,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",7.78769,0.014542,6.078018,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",7.859394,0.036866,6.149722,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",7.897343,0.014541,6.187671,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",7.968996,0.037905,6.259324,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",8.007027,0.014542,6.297355000000001,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",8.078811,0.036864,6.369138999999999,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",8.116653,0.014541,6.406981,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",8.188416,0.035408,6.478744000000001,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",8.224293,0.014542,6.514620999999999,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",8.298223,0.035823,6.588551,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",8.334947,0.014542,6.625274999999999,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",8.407715,0.036968,6.698042999999999,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",8.445631,0.014541,6.735959000000001,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",8.517622,0.036342,6.807949999999999,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",8.554292,0.01454,6.844619999999999,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",8.627322,0.037486,6.91765,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",8.664974,0.014543,6.955302,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",8.737232,0.03572,7.027559999999999,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",8.773573,0.01454,7.063901,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",8.846832,0.035409,7.137159999999998,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",8.883225,0.014542,7.173553,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",8.95664,0.036761,7.246967999999999,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",8.993935,0.014542,7.284263000000001,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",9.06624,0.033955,7.356567999999999,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",9.100507,0.01454,7.390834999999999,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",9.170962,0.036757,7.461289999999999,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",9.208105,0.014539,7.498433,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",9.280662,0.035408,7.57099,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",9.316691,0.014541,7.607019,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",9.390473,0.036343,7.680801,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",9.427393,0.01454,7.717720999999999,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",9.500385,0.036348,7.790712999999999,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",9.537034,0.014539,7.827362,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",9.609999,0.038011,7.900326999999999,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",9.648689,0.014539,7.939016999999998,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",9.720022,0.036867,8.01035,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",9.757344,0.014541,8.047671999999999,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",9.829634,0.036451,8.119962,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",9.86697,0.014542,8.157297999999999,,,,,,,,,,,,,,,"151"
